Alba Alba-Iulia 210 200 6242 342000
Arad Arad 120 190 7754 430000
Arges Pitesti 270 270 6826 612000
Bacau Bacau 370 180 6621 616000
Bihor Oradea 127 135 7544 575000
Bistrita-Nasaud Bistrita 260 120 5355 286000
Botosani Botosani 370 75 4986 412000
Braila Braila 420 280 5363 321000
Brasov Brasov 295 240 4766 549000
Bucuresti H 340 340 228 1883000
Buzau Buzau 365 260 6103 451000
Calarasi Calarasi 390 345 5088 306000
Caras-Severin Resita 125 280 8520 295000
Cluj Cluj-Napoca 200 165 6674 691000
Constanta Constanta 445 360 7071 684000
Covasna Sfantu-Gheorghe 330 220 3710 210000
Dambovita Targoviste 310 305 4054 518000
Dolj Craiova 210 360 7414 660000
Galati Galati 425 230 4466 536000
Giurgiu Giurgiu 340 360 3526 281000
Gorj Targu-Jiu 200 300 5602 341000
Harghita Miercurea-Ciuc 315 185 6639 310000
Hunedoara Deva 170 240 7063 418000
Ialomita Slobozia 400 315 4453 274000
Iasi Iasi 400 125 5476 772000
Ilfov Buftea 350 315 1583 388000
Maramures Baia-Mare 230 90 6304 478000
Mehedinti Drobeta-Turnu-Severin 155 310 4933 265000
Mures Targu-Mures 260 165 6714 550000
Neamt Piatra-Neamt 350 145 5896 470000
Olt Slatina 260 340 5498 436000
Prahova Ploiesti 335 280 4716 762000
Salaj Zalau 180 125 3864 224000
Satu-Mare Satu-Mare 156 90 4418 344000
Sibiu Sibiu 245 220 5432 397000
Suceava Suceava 320 100 8553 634000
Teleorman Alexandria 290 370 5790 380000
Timis Timisoara 90 240 8697 683000
Tulcea Tulcea 490 280 8499 213000
Valcea Ramnicu-Valcea 230 260 5765 371000
Vaslui Vaslui 420 175 5318 395499
Vrancea Focsani 380 235 4857 340000

